neighborhood, building_height, density
"Allston-Brighton", 29.285, 18305
"Back Bay", 85.581, 32685
"Beacon Hill", 63.017, 30282
"Charlestown", 35.019, 12191
"Dorchester", 28.765, 14933
"East Boston", 31.016, 8910
"Fenway", 72.211, 39005
"Financial District", 85.209, 24442
"Hyde Park", 21.743, 6488
"Jamaica Plain", 28.877, 9520
"Mattapan", 26.694, 10175
"Mission Hill", 40.072, 31067
"Roslindale", 25.373, 11809
"Roxbury", 33.545, 19180
"South Boston", 34.702, 13876
"South End", 58.744, 32726
"West Roxbury", 22.885, 6156